current_position;popularity;budget;number_of_views;number_of_critics;genre
1;+4;;1,251;289;78,711;Biography
21;+4;;101;22;5,498;Adventure
11;+6;;148;114;5,587;Biography
6;-3;;8,071;579;500,203;Crime
16;-2;;298;120;9,850;Comedy
21;+4;;101;22;5,498;Adventure
1;+4;;1,251;289;78,711;Biography
11;+6;;148;114;5,587;Biography
6;-3;;8,071;579;500,203;Crime
16;-2;;298;120;9,850;Comedy
12;-4;;277;51;16,314;Animation
22;+1;;1,775;376;123,753;Drama
7;+4;;None;None;None;Action
2;+2;;481;195;23,484;Animation
17;+21;;20;64;2,168;Drama
12;-4;;277;51;16,314;Animation
22;+1;;1,775;376;123,753;Drama
7;+4;;None;None;None;Action
2;+2;;481;195;23,484;Animation
17;+21;;20;64;2,168;Drama
13;+3;;456;308;87,021;Comedy
23;-8;;525;101;44,872;Biography
8;-6;;517;111;12,846;Action
3;+9;;382;231;23,026;Comedy
18;+110;;24;None;None;Drama
13;+3;;456;308;87,021;Comedy
23;-8;;525;101;44,872;Biography
8;-6;;517;111;12,846;Action
3;+9;;382;231;23,026;Comedy
18;+110;;24;None;None;Drama
14;-5;;396;120;13,788;Action
24;-2;;442;161;34,126;Action
9;+15;;466;273;32,479;Comedy
4;+6;;3,386;529;256,181;Comedy
19;+13;;101;58;3,583;Action
14;-5;;396;120;13,788;Action
24;-2;;442;161;34,126;Action
9;+15;;466;273;32,479;Comedy
19;+13;;101;58;3,583;Action
0.0;0.0;;None;None;624;Crime
4;+6;;3,386;529;256,181;Comedy
15;-8;;617;270;35,058;Drama
10;+34;;419;213;25,201;Comedy
0.0;0.0;;None;None;624;Crime
15;-8;;617;270;35,058;Drama
20;+11;;1,028;437;532,902;Animation
5;-4;;545;245;46,225;Action
10;+34;;419;213;25,201;Comedy
20;+11;;1,028;437;532,902;Animation
5;-4;;545;245;46,225;Action
31;+24;;967;196;30,696;Action
26;+2;;2,513;346;141,723;Animation
36;-6;;183;179;13,579;Comedy
46;+10;;3;11;151;Drama
41;+137;;2,731;493;163,746;Horror
31;+24;;967;196;30,696;Action
26;+2;;2,513;346;141,723;Animation
36;-6;;183;179;13,579;Comedy
46;+10;;3;11;151;Drama
41;+137;;2,731;493;163,746;Horror
32;-26;;None;None;None;Comedy
27;-1;;245;208;16,876;Drama
37;+42;;10;None;None;Drama
32;-26;;None;None;None;Comedy
47;+4;;105;24;3,797;Comedy
27;-1;;245;208;16,876;Drama
37;+42;;10;None;None;Drama
42;+34;;6,281;691;485,672;Action
47;+4;;105;24;3,797;Comedy
33;-12;;609;235;31,098;Action
38;+2;;None;None;None;Action
28;+44;;80;55;1,765;Drama
42;+34;;6,281;691;485,672;Action
48;+119;;54;115;3,997;Biography
33;-12;;609;235;31,098;Action
38;+2;;None;None;None;Action
28;+44;;80;55;1,765;Drama
43;-7;;201;148;19,081;Adventure
48;+119;;54;115;3,997;Biography
39;-12;;None;None;None;Horror
34;-15;;139;29;4,981;Adventure
43;-7;;201;148;19,081;Adventure
39;-12;;None;None;None;Horror
34;-15;;139;29;4,981;Adventure
29;None;;8,380;533;611,998;Action
49;+4;;7,013;489;377,248;Action
44;+10;;39;144;3,687;Comedy
40;+17;;None;None;None;Action
35;+43;;379;128;417,653;Comedy
44;+10;;39;144;3,687;Comedy
49;+4;;7,013;489;377,248;Action
29;None;;8,380;533;611,998;Action
40;+17;;None;None;None;Action
35;+43;;379;128;417,653;Comedy
45;-12;;122;26;8,651;Comedy
56;-21;;91;84;3,549;Crime
51;-9;;1,536;372;83,689;Drama
50;-9;;1,040;284;115,230;Action
30;-10;;1,677;299;50,068;Action
45;-12;;122;26;8,651;Comedy
56;-21;;91;84;3,549;Crime
51;-9;;1,536;372;83,689;Drama
50;-9;;1,040;284;115,230;Action
30;-10;;1,677;299;50,068;Action
61;+35;;3,391;242;1,485,711;Crime
57;+463;;44;6;747;Action
66;+4;;15;36;521;Biography
52;-15;;441;163;30,140;Adventure
71;-11;;1,835;389;238,181;Action
61;+35;;3,391;242;1,485,711;Crime
57;+463;;44;6;747;Action
66;+4;;15;36;521;Biography
52;-15;;441;163;30,140;Adventure
62;+24;;701;258;171,442;Adventure
71;-11;;1,835;389;238,181;Action
58;-10;;588;239;48,703;Comedy
53;+27;;1,166;229;936,934;Biography
67;+20;;1,836;610;410,735;Horror
62;+24;;701;258;171,442;Adventure
72;-3;;773;313;261,842;Action
53;+27;;1,166;229;936,934;Biography
58;-10;;588;239;48,703;Comedy
67;+20;;1,836;610;410,735;Horror
63;+3;;None;None;None;Action
72;-3;;773;313;261,842;Action
54;+88;;318;151;18,161;Drama
59;None;;3,726;344;671,367;Action
63;+3;;None;None;None;Action
68;-5;;1,113;347;134,570;Animation
54;+88;;318;151;18,161;Drama
73;-6;;750;292;65,562;Comedy
59;None;;3,726;344;671,367;Action
64;+42;;82;101;5,018;Comedy
68;-5;;1,113;347;134,570;Animation
55;+205;;302;108;136,526;Comedy
73;-6;;750;292;65,562;Comedy
60;-14;;1,368;476;472,856;Action
64;+42;;82;101;5,018;Comedy
69;-17;;192;121;11,527;Adventure
55;+205;;302;108;136,526;Comedy
74;-29;;393;177;27,486;Adventure
60;-14;;1,368;476;472,856;Action
65;+55;;1;None;None;Biography
69;-17;;192;121;11,527;Adventure
74;-29;;393;177;27,486;Adventure
76;-18;;6,383;418;2,139,207;Action
81;-63;;97;30;6,174;Crime
65;+55;;1;None;None;Biography
70;+33;;1,658;264;586,047;Adventure
86;+103;;239;55;271,903;Adventure
81;-63;;97;30;6,174;Crime
75;+71;;488;181;34,964;Animation
76;-18;;6,383;418;2,139,207;Action
70;+33;;1,658;264;586,047;Adventure
86;+103;;239;55;271,903;Adventure
75;+71;;488;181;34,964;Animation
82;+462;;139;114;8,272;Animation
77;+34;;1,094;228;393,456;Comedy
91;None;;None;None;None;Action
87;-23;;245;99;23,142;Comedy
77;+34;;1,094;228;393,456;Comedy
82;+462;;139;114;8,272;Animation
